N,P,K,temperature,humidity,ph,label
45,45,45,24.80,70.80,5.80,jute
50,40,50,23.00,72.00,6.10,jute
48,42,48,24.00,71.00,5.40,jute
52,38,52,23.50,73.00,5.70,jute
46,44,46,24.50,70.50,5.90,jute
54,36,54,23.00,73.50,6.00,jute
49,41,49,23.80,71.50,5.60,jute
51,39,51,23.20,72.50,5.80,jute
47,43,47,24.20,70.00,6.10,jute
53,37,53,23.50,74.00,5.40,jute
45,45,45,24.80,70.80,5.70,jute
101,28,18,25.96,85.03,6.56,coffee
98,30,16,26.50,83.50,6.70,coffee
104,25,20,25.50,86.50,6.40,coffee
96,32,14,26.80,83.00,6.80,coffee
106,27,22,25.00,87.00,6.30,coffee
100,29,17,26.00,84.00,6.60,coffee
103,26,19,25.80,86.00,6.90,coffee
97,31,15,26.50,83.50,6.20,coffee
105,24,21,25.20,87.50,6.50,coffee
99,33,13,27.00,82.80,6.70,coffee
102,28,18,25.50,85.00,6.80,coffee
98,30,16,26.50,84.00,6.40,coffee
104,25,20,25.00,86.50,6.60,coffee
96,32,14,26.80,83.00,6.90,coffee
106,27,22,25.50,87.00,6.20,coffee
100,29,17,26.00,84.50,6.50,coffee
103,26,19,25.80,86.00,6.70,coffee
97,31,15,26.50,83.50,6.80,coffee
105,24,21,25.20,87.50,6.40,coffee
99,33,13,27.00,82.80,6.60,coffee
102,28,18,25.50,85.50,6.90,coffee
98,30,16,26.50,84.00,6.20,coffee
104,25,20,25.00,86.50,6.50,coffee
96,32,14,26.80,83.00,6.70,coffee
106,27,22,25.50,87.00,6.80,coffee
100,29,17,26.00,84.50,6.40,coffee
103,26,19,25.80,86.00,6.60,coffee
97,31,15,26.50,83.50,6.90,coffee
105,24,21,25.20,87.50,6.20,coffee
99,33,13,27.00,82.80,6.50,coffee
50,25,30,25.53,58.87,6.19,wheat
48,28,28,26.00,57.50,6.30,wheat
52,22,32,25.00,60.00,6.00,wheat
46,30,26,26.50,57.00,6.40,wheat
54,24,34,24.50,60.50,5.90,wheat
49,27,29,25.80,58.00,6.20,wheat
51,23,31,25.20,59.50,6.50,wheat
47,29,27,26.20,56.50,5.80,wheat
53,21,33,24.80,60.80,6.10,wheat
45,31,25,26.80,56.00,6.30,wheat
50,26,30,25.50,58.50,6.40,wheat
48,28,28,26.00,57.50,6.00,wheat
52,22,32,25.00,60.00,6.20,wheat
46,30,26,26.50,57.00,5.90,wheat
54,24,34,24.50,60.50,6.50,wheat
49,27,29,25.80,58.00,5.80,wheat
51,23,31,25.20,59.50,6.10,wheat
47,29,27,26.20,56.50,6.30,wheat
53,21,33,24.80,60.80,6.40,wheat
45,31,25,26.80,56.00,6.00,wheat
50,26,30,25.50,58.50,6.20,wheat
48,28,28,26.00,57.50,5.90,wheat
52,22,32,25.00,60.00,6.50,wheat
46,30,26,26.50,57.00,5.80,wheat
54,24,34,24.50,60.50,6.10,wheat
49,27,29,25.80,58.00,6.30,wheat
51,23,31,25.20,59.50,6.40,wheat
47,29,27,26.20,56.50,6.00,wheat
53,21,33,24.80,60.80,6.20,wheat
45,31,25,26.80,56.00,5.90,wheat
50,68,35,33.19,33.02,8.11,sugarcane
48,70,33,34.00,32.00,8.20,sugarcane
52,65,37,32.50,34.00,8.00,sugarcane
46,72,31,34.50,31.50,8.30,sugarcane
54,64,39,32.00,34.50,7.90,sugarcane
49,69,34,33.50,32.50,8.10,sugarcane
51,66,36,33.00,33.50,8.40,sugarcane
47,71,32,34.20,31.80,7.80,sugarcane
53,63,38,32.50,34.80,8.20,sugarcane
45,73,30,35.00,31.00,8.00,sugarcane
50,67,35,33.00,33.00,8.30,sugarcane
48,70,33,34.00,32.00,7.90,sugarcane
52,66,37,32.50,34.00,8.10,sugarcane
46,72,31,34.50,31.50,8.40,sugarcane
54,64,39,32.00,34.50,7.80,sugarcane
49,69,34,33.50,32.50,8.20,sugarcane
51,65,36,33.00,33.50,8.00,sugarcane
47,71,32,34.20,31.80,8.30,sugarcane
53,63,38,32.50,34.80,7.90,sugarcane
45,73,30,35.00,31.00,8.10,sugarcane
50,68,35,33.00,33.00,8.40,sugarcane
48,67,33,34.00,32.00,7.80,sugarcane
52,70,37,32.50,34.00,8.20,sugarcane
46,66,31,34.50,31.50,8.00,sugarcane
54,72,39,32.00,34.50,8.30,sugarcane
49,64,34,33.50,32.50,7.90,sugarcane
51,69,36,33.00,33.50,8.10,sugarcane
47,65,32,34.20,31.80,8.40,sugarcane
53,71,38,32.50,34.80,7.80,sugarcane
45,63,30,35.00,31.00,8.20,sugarcane
